Date,Close/Last,Volume,Open,High,Low
03/07/2025,$34.69,490217,$34.35,$34.75,$34.20
03/06/2025,$34.63,755678,$35.36,$35.36,$34.54
03/05/2025,$35.655,1781611,$34.93,$35.84,$34.69
03/04/2025,$32.72,1704778,$31.65,$32.98,$31.50
03/03/2025,$31.35,3100299,$32.55,$32.80,$31.18
02/28/2025,$33.54,1714626,$33.39,$33.78,$33.15
02/27/2025,$36.05,5731238,$35.66,$37.06,$35.60
02/26/2025,$36.15,648078,$36.45,$36.50,$35.94
02/25/2025,$34.50,717573,$34.30,$34.50,$34.04
02/24/2025,$32.04,862488,$33.20,$33.33,$32.04
02/21/2025,$33.42,1061731,$33.50,$33.72,$33.16
02/20/2025,$32.52,1006249,$32.57,$33.06,$32.21
02/19/2025,$32.19,639665,$32.40,$32.50,$31.92
02/18/2025,$30.97,559097,$30.93,$31.08,$30.80
02/14/2025,$28.45,493656,$28.89,$28.89,$28.26
02/13/2025,$27.30,608087,$27.00,$27.37,$26.60
02/12/2025,$28.61,409408,$28.23,$28.78,$28.11
02/11/2025,$27.56,411489,$27.78,$27.83,$27.45
02/10/2025,$28.42,713491,$28.56,$28.70,$28.21
02/07/2025,$27.33,640845,$27.46,$27.59,$27.20
02/06/2025,$25.99,247910,$26.02,$26.11,$25.84
02/05/2025,$25.58,136661,$25.58,$25.65,$25.40
02/04/2025,$25.66,343314,$25.81,$25.90,$25.28
02/03/2025,$24.81,956637,$24.30,$25.00,$24.20
01/31/2025,$25.20,1078701,$26.26,$26.49,$25.12
01/30/2025,$26.53,435965,$26.075,$26.66,$26.00
01/29/2025,$25.86,1463167,$26.27,$26.40,$25.65
01/28/2025,$25.57,759348,$24.50,$25.57,$24.50
01/27/2025,$24.04,629598,$23.73,$24.09,$23.615
01/24/2025,$23.73,228410,$23.37,$23.73,$23.37
01/23/2025,$22.30,551072,$22.20,$22.40,$22.00
01/22/2025,$22.85,674778,$22.62,$23.03,$22.60
01/21/2025,$22.93,227907,$23.13,$23.25,$22.69
01/17/2025,$22.62,237959,$22.50,$22.80,$22.32
01/16/2025,$21.91,165048,$22.10,$22.20,$21.85
01/15/2025,$21.75,313303,$21.58,$21.77,$21.55
01/14/2025,$21.62,246172,$21.70,$21.85,$21.54
01/13/2025,$20.98,157631,$21.22,$21.22,$20.84
01/10/2025,$21.22,161222,$21.40,$21.40,$21.20
01/08/2025,$20.91,251826,$20.98,$21.00,$20.70
01/07/2025,$21.894,239017,$22.20,$22.71,$21.84
01/06/2025,$23.345,329081,$23.85,$23.85,$23.25
01/03/2025,$23.5463,267809,$23.40,$23.60,$23.0001
01/02/2025,$21.83,198411,$21.94,$21.952,$21.83
12/31/2024,$21.86,440011,$22.16,$22.25,$21.86
12/30/2024,$22.06,364744,$22.20,$22.25,$22.00
12/27/2024,$22.03,294277,$22.10,$22.10,$21.86
12/26/2024,$21.36,147524,$21.74,$21.78,$21.16
12/24/2024,$21.24,44945,$21.265,$21.28,$21.00
12/23/2024,$20.57,129687,$20.35,$20.57,$20.235
12/20/2024,$20.41,332236,$20.10,$20.43,$20.09
12/19/2024,$19.64,121275,$19.63,$19.76,$19.5001
12/18/2024,$19.35,220754,$19.62,$19.75,$19.30
12/17/2024,$19.40,111306,$19.28,$19.46,$19.20
12/16/2024,$19.32,358286,$19.75,$19.92,$19.32
12/13/2024,$20.09,98401,$20.30,$20.37,$19.89
12/12/2024,$20.07,90247,$20.40,$20.40,$19.90
12/11/2024,$19.54,125236,$19.58,$19.75,$19.40
12/10/2024,$19.88,397194,$20.25,$20.25,$19.83
12/09/2024,$20.64,722783,$20.35,$20.93,$20.25
12/06/2024,$18.96,81031,$19.10,$19.10,$18.92
